Line     Offset   Lexeme                    Token                     Token Special            
15       4        print                     T_KEYWORD                 TS_PRINT                 
15       9        (                         T_DELIMITER               TS_L_PAREN               
15       10       "x is greater than 5"     T_CONSTANT                TS_STRING                
15       31       )                         T_DELIMITER               TS_R_PAREN               
15       32       ;                         T_DELIMITER               TS_SEMICOLON             
16       0        }                         T_DELIMITER               TS_R_BRACE               
16       2        else                      T_KEYWORD                 TS_ELSE                  
16       7        {                         T_DELIMITER               TS_L_BRACE               
17       4        print                     T_KEYWORD                 TS_PRINT                 
17       9        (                         T_DELIMITER               TS_L_PAREN               
17       10       "x is 5 or less"          T_CONSTANT                TS_STRING                
17       26       )                         T_DELIMITER               TS_R_PAREN               
17       27       ;                         T_DELIMITER               TS_SEMICOLON             
18       0        }                         T_DELIMITER               TS_R_BRACE               
20       0        // NESTED CONDITIONAL     T_COMMENT                 TS_COMMENT_LINE          
21       0        if                        T_KEYWORD                 TS_IF                    
21       3        (                         T_DELIMITER               TS_L_PAREN               
21       4        y                         T_IDENTIFIER              TS_IDENTIFIER            
21       5        )                         T_DELIMITER               TS_R_PAREN               
21       7        {                         T_DELIMITER               TS_L_BRACE               
22       4        if                        T_KEYWORD                 TS_IF                    
22       7        (                         T_DELIMITER               TS_L_PAREN               
22       8        x                         T_IDENTIFIER              TS_IDENTIFIER            
22       10       <                         T_OPERATOR                TS_LESS_THAN             
22       12       3                         T_CONSTANT                TS_INTEGER_LITERAL       
22       13       )                         T_DELIMITER               TS_R_PAREN               
22       15       {                         T_DELIMITER               TS_L_BRACE               
23       8        print                     T_KEYWORD                 TS_PRINT                 
23       13       (                         T_DELIMITER               TS_L_PAREN               
23       14       "x is tiny"               T_CONSTANT                TS_STRING                
23       25       )                         T_DELIMITER               TS_R_PAREN               
23       26       ;                         T_DELIMITER               TS_SEMICOLON             
24       4        }                         T_DELIMITER               TS_R_BRACE               
25       0        }                         T_DELIMITER               TS_R_BRACE               
25       2        else                      T_KEYWORD                 TS_ELSE                  
25       7        {                         T_DELIMITER               TS_L_BRACE               
26       4        print                     T_KEYWORD                 TS_PRINT                 
26       9        (                         T_DELIMITER               TS_L_PAREN               
26       10       "y is false"              T_CONSTANT                TS_STRING                
26       22       )                         T_DELIMITER               TS_R_PAREN               
26       23       ;                         T_DELIMITER               TS_SEMICOLON             
27       0        }                         T_DELIMITER               TS_R_BRACE               
29       0        // JUNKY CONDITIONALS     T_COMMENT                 TS_COMMENT_LINE          
30       0        if                        T_KEYWORD                 TS_IF                    
30       3        x                         T_IDENTIFIER              TS_IDENTIFIER            
30       5        >                         T_OPERATOR                TS_GREATER_THAN          
30       7        5                         T_CONSTANT                TS_INTEGER_LITERAL       
30       9        {                         T_DELIMITER               TS_L_BRACE               
30       23       // invalid: missing parentheses T_COMMENT                 TS_COMMENT_LINE          
31       4        print                     T_KEYWORD                 TS_PRINT                 
31       9        (                         T_DELIMITER               TS_L_PAREN               
31       10       "broken if"               T_CONSTANT                TS_STRING                
31       21       )                         T_DELIMITER               TS_R_PAREN               
31       22       ;                         T_DELIMITER               TS_SEMICOLON             
32       0        }                         T_DELIMITER               TS_R_BRACE               
32       2        else                      T_KEYWORD                 TS_ELSE                  
33       4        print                     T_KEYWORD                 TS_PRINT                 
33       9        (                         T_DELIMITER               TS_L_PAREN               
33       10       "broken else"             T_CONSTANT                TS_STRING                
33       23       )                         T_DELIMITER               TS_R_PAREN               
33       24       ;                         T_DELIMITER               TS_SEMICOLON             
33       26       // invalid: missing braces T_COMMENT                 TS_COMMENT_LINE          
35       0        // GOOD LOOP              T_COMMENT                 TS_COMMENT_LINE          
36       0        while                     T_KEYWORD                 TS_WHILE                 
36       6        (                         T_DELIMITER               TS_L_PAREN               
36       7        z                         T_IDENTIFIER              TS_IDENTIFIER            
36       9        >                         T_OPERATOR                TS_GREATER_THAN          
36       11       0                         T_CONSTANT                TS_INTEGER_LITERAL       
36       12       )                         T_DELIMITER               TS_R_PAREN               
36       14       {                         T_DELIMITER               TS_L_BRACE               
37       4        print                     T_KEYWORD                 TS_PRINT                 
37       9        (                         T_DELIMITER               TS_L_PAREN               
37       10       z                         T_IDENTIFIER              TS_IDENTIFIER            
37       11       )                         T_DELIMITER               TS_R_PAREN               
37       12       ;                         T_DELIMITER               TS_SEMICOLON             
38       4        z                         T_IDENTIFIER              TS_IDENTIFIER            
38       6        =                         T_OPERATOR                TS_ASSIGNMENT            
38       8        z                         T_IDENTIFIER              TS_IDENTIFIER            
38       10       -                         T_OPERATOR                TS_SUBTRACT              
38       12       1                         T_CONSTANT                TS_INTEGER_LITERAL       
38       13       ;                         T_DELIMITER               TS_SEMICOLON             
39       0        }                         T_DELIMITER               TS_R_BRACE               
41       0        // JUNKY LOOP             T_COMMENT                 TS_COMMENT_LINE          
42       0        while                     T_KEYWORD                 TS_WHILE                 
42       6        z                         T_IDENTIFIER              TS_IDENTIFIER            
42       8        <                         T_OPERATOR                TS_LESS_THAN             
42       10       10                        T_CONSTANT                TS_INTEGER_LITERAL       
42       13       {                         T_DELIMITER               TS_L_BRACE               
42       24       // invalid: missing parentheses T_COMMENT                 TS_COMMENT_LINE          
43       4        z                         T_IDENTIFIER              TS_IDENTIFIER            
43       5        ++                        T_OPERATOR                TS_INCREMENT             
43       7        ;                         T_DELIMITER               TS_SEMICOLON             
44       0        }                         T_DELIMITER               TS_R_BRACE               
46       0        // GOOD FOR LOOP          T_COMMENT                 TS_COMMENT_LINE          
47       0        for                       T_KEYWORD                 TS_FOR                   
47       4        (                         T_DELIMITER               TS_L_PAREN               
47       5        var                       T_KEYWORD                 TS_VAR                   
47       9        i                         T_IDENTIFIER              TS_IDENTIFIER            
47       11       =                         T_OPERATOR                TS_ASSIGNMENT            
47       13       0                         T_CONSTANT                TS_INTEGER_LITERAL       
47       14       ;                         T_DELIMITER               TS_SEMICOLON             
47       16       i                         T_IDENTIFIER              TS_IDENTIFIER            
47       18       <                         T_OPERATOR                TS_LESS_THAN             
47       20       5                         T_CONSTANT                TS_INTEGER_LITERAL       
47       21       ;                         T_DELIMITER               TS_SEMICOLON             
47       23       i                         T_IDENTIFIER              TS_IDENTIFIER            
47       25       =                         T_OPERATOR                TS_ASSIGNMENT            
47       27       i                         T_IDENTIFIER              TS_IDENTIFIER            
47       29       +                         T_OPERATOR                TS_ADD                   
47       31       1                         T_CONSTANT                TS_INTEGER_LITERAL       
47       32       )                         T_DELIMITER               TS_R_PAREN               
47       34       {                         T_DELIMITER               TS_L_BRACE               
48       4        print                     T_KEYWORD                 TS_PRINT                 
48       9        (                         T_DELIMITER               TS_L_PAREN               
48       10       i                         T_IDENTIFIER              TS_IDENTIFIER            
48       11       )                         T_DELIMITER               TS_R_PAREN               
48       12       ;                         T_DELIMITER               TS_SEMICOLON             
49       0        }                         T_DELIMITER               TS_R_BRACE               
51       0        // JUNKY FOR LOOP         T_COMMENT                 TS_COMMENT_LINE          
52       0        for                       T_KEYWORD                 TS_FOR                   
52       4        var                       T_KEYWORD                 TS_VAR                   
52       8        j                         T_IDENTIFIER              TS_IDENTIFIER            
52       10       =                         T_OPERATOR                TS_ASSIGNMENT            
52       12       0                         T_CONSTANT                TS_INTEGER_LITERAL       
52       13       ;                         T_DELIMITER               TS_SEMICOLON             
52       15       j                         T_IDENTIFIER              TS_IDENTIFIER            
52       17       <                         T_OPERATOR                TS_LESS_THAN             
52       19       5                         T_CONSTANT                TS_INTEGER_LITERAL       
52       20       ;                         T_DELIMITER               TS_SEMICOLON             
52       22       j                         T_IDENTIFIER              TS_IDENTIFIER            
52       23       ++                        T_OPERATOR                TS_INCREMENT             
52       26       {                         T_DELIMITER               TS_L_BRACE               
52       30       // invalid: missing parentheses T_COMMENT                 TS_COMMENT_LINE          
53       4        print                     T_KEYWORD                 TS_PRINT                 
53       9        (                         T_DELIMITER               TS_L_PAREN               
53       10       j                         T_IDENTIFIER              TS_IDENTIFIER            
53       11       )                         T_DELIMITER               TS_R_PAREN               
53       12       ;                         T_DELIMITER               TS_SEMICOLON             
54       0        }                         T_DELIMITER               TS_R_BRACE               
